,name,first_week,boxoffice,type,duration,release_time,technology,location,director,director_link,actor,production_company,issuing_company
28,一个陌生女人的来信,,800.6,剧情,Turkey:89,2005-3-4,2D,中国,徐静蕾 Jinglei Xu,http://www.cbooo.cn/p/146,黄觉 Jue Huang;;;姜文 Wen Jiang;;;焦晃 Huang Jiao;;;林源 Yuan Lin;;;马恩然 Enran Ma;;;苏小明 Xiaoming Su;;;苏子豪 Zihao Su;;;张暴默 Baomo Zhang;;;徐静蕾 Jinglei Xu;;;孙飞虎 Feihu Sun,;;;中国保利华亿传媒公司 Poly-Huayi Media of China;;; Asian Union Film Ltd.,;;; Barton Films;;;博纳影业集团股份有限公司 Bona Film Group;;; Divisa Home Video
29,美人依旧,0.0,1000.8,剧情,87,2005-2-14,2D,中国/美国/中国香港,胡安 Ann Hu,http://www.cbooo.cn/p/7338,剧雪 Xue Ju;;;卢燕 Lisa Lu;;;王志文 Zhiwen Wang;;;邬君梅 Vivian Wu;;;羊立新 Lixin Yang;;;周迅 Xun Zhou,";;;中国电影集团公司 China Film Group Corporation;;; Chinachem Group;;; Emerging Pictures;;;寰亚电影制作有限公司 Media Asia Film Production Co., Ltd.;;;上海电影（集团）有限公司 Shanghai Film Group Co.,Ltd",";;; Emerging Pictures;;;北京紫禁城三联影视发行有限公司 Beijing Forbidden City Sanlian Distribution Co.,Ltd"
30,布达拉宫,,41.5,纪录片,90分钟,2005-3-14,2D,中国,陈真 Zhen Chen,http://www.cbooo.cn/p/1867958,,,";;;华夏电影发行有限责任公司 Huaxia Film Distribution Co.,Ltd"
31,世界,0.0,200.6,剧情,Italy:140,2005-4-15,2D,中国/日本/法国,贾樟柯 Zhangke Jia,http://www.cbooo.cn/p/1891,赵涛 Tao Zhao;;;成泰燊 Taishen Cheng;;;黄依群 Yi-qun Wang;;;王宏伟 Hongwei Wang;;;梁景东 Jing Dong Liang;;;韩三明 Sanming Han;;;刘晓东 Xiaodong Liu;;;王小帅 Xiaoshuai Wang,";;; Office Kitano;;; Lumen Films;;; X Stream Pictures;;; Bandai Visual Company;;;上海电影（集团）有限公司 Shanghai Film Group Co.,Ltd;;; Xinghui Production, Hong Kong",;;; Ad Vitam Distribution;;; Bitters End;;; Celluloid Dreams;;; Contact Film;;; Golden Village Entertainment;;; Golden Village;;; Office Kitano;;; Prodimag;;; Zeitgeist Films;;;中国电影集团公司 China Film Group Corporation
32,再说一次我爱你,490.0,880.3,爱情,Singapore:102,2005-10-20,2D,中国/中国香港,"余伟国 Daniel Yu Wai-Kwok,李公乐 Kung-Lok Lee","http://www.cbooo.cn/p/3357,http://www.cbooo.cn/p/12329",刘德华 Andy Lau;;;杨采妮 Charlie Yeung;;;蔡卓妍 Charlene Choi;;;张同祖 Joe Cheung;;;侯莎莎 Sasha Hou;;;许绍雄 Shiu Hung Hui;;;林雪 Suet Lam;;;连凯 Andrew Lien;;;黄秋生 Anthony Wong;;;黄淑仪 Gi-Gi Wong,";;;映艺娱乐有限公司 Focus Films Limited;;;拾月堂制作有限公司 Shiyuetang Production Co.,Ltd",;;;映艺娱乐有限公司 Focus Films Limited;;; Go Film Distribution;;; Intercontinental Video;;;新加坡新传媒星霖电影公司 Xin Jia Po Xinmedia Xing Lin Dian Yingcompany;;;;;;  Paramount Home Entertainment;;; Shaw Organisation;;; Shaw Renters;;;博纳影业集团股份有限公司 Bona Film Group
33,长恨歌,155.0,601.4,爱情,China:115,2005-9-29,2D,中国香港/中国,关锦鹏 Stanley Kwan,http://www.cbooo.cn/p/1157,郑秀文 Sammi Cheng;;;梁家辉 Tony Leung Ka Fai;;;胡军 Jun Hu;;;吴彦祖 Daniel Wu;;;黄觉 Jue Huang;;;程皓枫 Haofeng Cheng;;;郑希怡 Hei-Yi Cheng;;;黄奕 Crystal Huang,;;;成龙英皇影业有限公司 JCE Entertainment Ltd.;;;上海电影制片厂 Shanghai Film Studio,;;; Festive Films;;;高先电影有限公司 Golden Scene Company Ltd.;;; Shaw Organisation;;;上海电影股份有限公司影视发行分公司 Eastern Mordor
34,心急吃不了热豆腐,,0.1,喜剧,93,2005-4-20,2D,中国,冯巩 Gong Feng,http://www.cbooo.cn/p/6580,谢昀杉 Dang Ding;;;丁嘉丽 Jiali Ding;;;郭达 Da Guo;;;郭冬临 Donglin Guo;;;李嘉存 Jiacun Li;;;徐帆 Fan Xu;;;张澍 Shu Zhang;;;刘孜 Zi Liu;;;冯巩 Gong Feng,";;;山西电影制片厂（有限公司） Shanxi Film Studio;;;广东宋祖德影视文化传播有限公司 Guangdong Songzude Film Culture Communication Co., LTD",";;;北京紫禁城三联影视发行有限公司 Beijing Forbidden City Sanlian Distribution Co.,Ltd"
35,暖秋,,660.0,剧情,,2005-3-2,2D,中国,刘新 Xin Liu,http://www.cbooo.cn/p/175,郑小宁 Xiaoning Zheng;;;戈治均 Zhijun Ge;;;高宝宝 Baobao Gao;;;徐才根 Caigen Xu,";;;山西电影制片厂（有限公司） Shanxi Film Studio;;;北京鼎泰世纪文化传媒有限公司 Beijing Dingtai Century Media Co.,Ltd",";;;北京博纳影视文化交流有限公司 Beijing Bona Culture Exchange Co.,Ltd"
36,为了胜利,,300.0,纪录片,90分钟,2005-8-15,2D,中国,,,,;;;山东电影制片厂 Shandong Film Studio;;;中央电视台 China Central Television,";;;华夏电影发行有限责任公司 Huaxia Film Distribution Co.,Ltd;;;中央新闻纪录电影制片厂（集团） Central Studio of News Reels Production"
37,短信一月追,,0.2,爱情,87,2005-8-11,2D,中国,阿甘 Agan,http://www.cbooo.cn/p/128,古巨基 Leo Ku;;;聂远 Yuan Nie;;;任泉 Quan Ren,";;;华谊兄弟传媒股份有限公司 Huayi Brothers Media Group Co.,Ltd;;;金牌娱乐事业有限公司 Gold Label",";;;陕西西影华谊电影发行有限公司 ShanXi XiYing HuaYi Film Distribution Co., LTD"
38,花腰新娘,,,爱情,,2005-4-13,2D,中国,章家瑞 Jiarui Zhang,http://www.cbooo.cn/p/3092,崔哲铭 Zheming Cui;;;印小天 Xiaotian Yin;;;张静初 Jingchu Zhang,;;;中国电影集团公司 China Film Group Corporation,
39,为了胜利,,300.0,纪录片,90分钟,2005-8-15,2D,中国,,,,;;;山东电影制片厂 Shandong Film Studio;;;中央电视台 China Central Television,";;;华夏电影发行有限责任公司 Huaxia Film Distribution Co.,Ltd;;;中央新闻纪录电影制片厂（集团） Central Studio of News Reels Production"
40,青春爱人事件,,50.0,剧情,100分钟,2005-5-11,2D,中国,颢然 Hao Ran,http://www.cbooo.cn/p/1867543,刘烨 Ye Liu;;;石周靓 Zhouliang Shi;;;王思懿 Siyi Wang;;;郭涛 Tao Guo;;;倪大红 Dahong Ni;;;黄格选 Gexuan Huang,;;;深圳电影制片厂有限公司 Shenzhen Film Studio,";;;北京紫禁城三联影视发行有限公司 Beijing Forbidden City Sanlian Distribution Co.,Ltd"
41,任长霞,,2600.0,剧情,140,2005-7-1,2D,中国,宋江波 Jiangbo Song,http://www.cbooo.cn/p/13913,张瑜 Yu Zhang;;;吴京安 Jingan Wu;;;王庆祥 Qingxiang Wang;;;曾志伟 Eric Tsang,;;;长春电影制片厂 Changchun Film Studio,";;;上海华宇电影有限公司 Shanghai Huayu Film Co., Ltd;;;上海东方传媒集团有限公司 Shanghai Media Group Limited"
42,秋雨,,3.5,爱情,94分钟,2005-9-3,2D,中国,孙铁 Tie Sun,http://www.cbooo.cn/p/1866326,靳东 Dong Jin;;;前田知惠 Chie Maeda;;;毕彦君 Yanjun Bi;;;张晗 Han Zhang,";;;国家新闻出版广电总局电影卫星频道节目制作中心 China Movie Channel SARFT;;;北京创世纪影业公司 Beijing Chuangshiji Film company;;;北京铁哥华亚影视文化发展有限公司 Beijing Tiege Huaya Film＆Television Culture Development Co., Ltd.",";;;华夏电影发行有限责任公司 Huaxia Film Distribution Co.,Ltd"
43,花腰新娘,,,爱情,,2005-4-13,2D,中国,章家瑞 Jiarui Zhang,http://www.cbooo.cn/p/3092,崔哲铭 Zheming Cui;;;印小天 Xiaotian Yin;;;张静初 Jingchu Zhang,;;;中国电影集团公司 China Film Group Corporation,
44,求求你表扬我,,0.5,喜剧,95,2005-6-17,2D,中国,黄建新 Jianxin Huang,http://www.cbooo.cn/p/657,陈好 Hao Chen;;;范伟 Wei Fan;;;廖凡 Fan Liao;;;刘子枫 Zifeng Liu;;;苗圃 Pu Miao;;;王志文 Zhiwen Wang;;;赵宝刚 Baogang Zhao,";;;北京紫禁城影业有限责任公司 Beijing Forbidden City Pictures Co.,Ltd;;;北京太合环球影业投资有限公司 Beijing Taihe Huanqiu Pictures Investment Co.,Ltd",;;;中国电影集团公司 China Film Group Corporation;;;博纳影业集团股份有限公司 Bona Film Group
45,窒息,,,惊悚,86,2005-4-8,2D,中国,张秉坚 Bingjian Zhang,http://www.cbooo.cn/p/4340,葛优 You Ge;;;李滨 Bin Li;;;秦海璐 Amanda Qin,";;;北京电影制片厂 Beijing Film Studio;;;华人传媒发展有限公司 Huaren Media Development Co.,Ltd",";;;北京年恩长影文化传播有限公司 Beijing Nianen Changying Culture Communication Co., LTD"
46,做头,,400.4,剧情,101,2005-3-4,2D,中国/中国香港,,,霍建华 Wallace Huo;;;关之琳 Rosamund Kwan;;;吴镇宇 Francis Ng,";;;中国星电影有限公司 China Star Film Co.,Ltd;;; 思维娱乐有限公司 Siwei Yule Co.,Ltd;;;上海电影制片厂 Shanghai Film Studio;;;银都机构有限公司 Sil-Metropole Organization Ltd.",;;; Broadway;;; Japan Sky Way;;;北京川江联盟影视文化有限公司 Beijing Chuanjiang Union Film and TV Culture Ltd
47,公主复仇记,150.0,107.3,剧情,,2005-2-25,2D,中国香港/中国,Ho-Cheung Pang,http://www.cbooo.cn/p/15775,詹瑞文 Sui-man Chim;;;陶红 Hong Tao;;;黄伊汶 Emme Wong;;;黄家诺 Jimmy Wong Ga Lok;;;吴彦祖 Daniel Wu,";;;美亚电影制作有限公司 Mei Ah Movie Production Co.,Ltd",;;; Long Shong Entertainment Group;;;博纳影业集团股份有限公司 Bona Film Group
48,暖秋,,660.0,剧情,,2005-3-2,2D,中国,刘新 Xin Liu,http://www.cbooo.cn/p/175,郑小宁 Xiaoning Zheng;;;戈治均 Zhijun Ge;;;高宝宝 Baobao Gao;;;徐才根 Caigen Xu,";;;山西电影制片厂（有限公司） Shanxi Film Studio;;;北京鼎泰世纪文化传媒有限公司 Beijing Dingtai Century Media Co.,Ltd",";;;北京博纳影视文化交流有限公司 Beijing Bona Culture Exchange Co.,Ltd"
49,心急吃不了热豆腐,,0.1,喜剧,93,2005-4-20,2D,中国,冯巩 Gong Feng,http://www.cbooo.cn/p/6580,谢昀杉 Dang Ding;;;丁嘉丽 Jiali Ding;;;郭达 Da Guo;;;郭冬临 Donglin Guo;;;李嘉存 Jiacun Li;;;徐帆 Fan Xu;;;张澍 Shu Zhang;;;刘孜 Zi Liu;;;冯巩 Gong Feng,";;;山西电影制片厂（有限公司） Shanxi Film Studio;;;广东宋祖德影视文化传播有限公司 Guangdong Songzude Film Culture Communication Co., LTD",";;;北京紫禁城三联影视发行有限公司 Beijing Forbidden City Sanlian Distribution Co.,Ltd"
50,鸳鸯蝴蝶,,200.1,爱情,China:112,2005-2-14,2D,中国,,,陈坤 Kun Chen;;;严翔 Xiang Yan;;;周迅 Xun Zhou,;;;世纪英雄电影投资公司 Century Hero Film Investment Company,;;;博纳影业集团股份有限公司 Bona Film Group
51,短信一月追,,0.2,爱情,87,2005-8-11,2D,中国,阿甘 Agan,http://www.cbooo.cn/p/128,古巨基 Leo Ku;;;聂远 Yuan Nie;;;任泉 Quan Ren,";;;华谊兄弟传媒股份有限公司 Huayi Brothers Media Group Co.,Ltd;;;金牌娱乐事业有限公司 Gold Label",";;;陕西西影华谊电影发行有限公司 ShanXi XiYing HuaYi Film Distribution Co., LTD"
52,三个人的冬天,,,剧情,90分钟,2005-4-28,2D,中国,张夷非 Yifei Zhang,http://www.cbooo.cn/p/1866559,蒋雯丽 Wenli Jiang;;;赵君 Jun Zhao,,
53,风起云涌,,32.8,剧情,,2005-6-24,2D,中国,陈国星 Guoxing Chen,http://www.cbooo.cn/p/97,李易祥 Yixiang Li;;;谢钢 Gang Xie,;;;21世纪盛凯影业 21 Century ShengKai Pictures,";;;中影集团数字电影院线有限公司 China Film Group Digital Cinema Line Co.,Ltd"
54,姚明年,2.0,80.2,纪录片,88,2005-7-14,2D,美国/中国,Adam Del Deo,http://www.cbooo.cn/p/14194,查尔斯·巴克利 Charles Barkley;;;沙奎尔·奥尼尔 Shaquille O'Neal;;;科林·潘 Colin Pine;;;姚明 Ming Yao,;;;最后阶段娱乐公司 Endgame Entertainment;;; NBA Entertainment,";;; Argentina Video Home;;; Distribution Company;;; Fine Line Features;;; Roadshow Entertainment;;;华纳兄弟电影公司 Warner Bros Pictures;;;中影集团数字电影院线有限公司 China Film Group Digital Cinema Line Co.,Ltd"
55,爱亦无声,,,爱情,100分钟,2005-8-10,2D,中国,安战军 Zhanjun An,http://www.cbooo.cn/p/2475,伍宇娟 Yujuan Wu;;;冯国庆 Guoqing Feng;;;刘威 Wei Liu;;;张妍 Yan Zhang,";;;西部电影集团有限公司 Western Movie Group;;;新长安传媒有限公司 Xinchang'an Media Co., Ltd",
56,破釜沉舟,,,战争,89分钟,2005-2-25,2D,中国,"邢树民 Xing Shumin,卫翰韬 Hon To Wai","http://www.cbooo.cn/p/1863291,http://www.cbooo.cn/p/1863148",肖荣生 Rongsheng Xiao;;;胡军 Jun Hu;;;杨恭如 Kristy Yang;;;吴倩莲 Chien-lien Wu;;;吴樾 Yue Wu;;;辛明 Ming Xin;;;沈保平 Baoping Shen;;;陈之辉 Zhihui Chen,";;;上海三九文化发展有限公司 Shanghai Sanjiu Cultural Development Co., Ltd.",";;;中影集团数字电影院线有限公司 China Film Group Digital Cinema Line Co.,Ltd"
57,我心飞翔,,,剧情,90,2005-4-26,,中国,高晓松 Xiaosong Gao,http://www.cbooo.cn/p/1866557,陈道明 Daoming Chen;;;丁勇岱 Yongdai Ding;;;李小璐 Xiaolu Li;;;郑钧 Jun Zheng,";;;星美传媒集团有限公司 Stellar Megamedia Group Co., LTD",";;; Syracuse International Film &#38; Video Festival;;;星美传媒集团有限公司 Stellar Megamedia Group Co., LTD;;;星美（北京）影业有限公司 Stellar Mega Films Limited"
58,我为谁狂,,,喜剧/犯罪,China:108,2005-2-1,,中国,陈大明 Daming Chen,http://www.cbooo.cn/p/5335,宁静 Jing Ning;;;孙红雷 Honglei Sun;;;赵宝刚 Baogang Zhao;;;姜彤 Tong Jiang;;;孙敏 Min Sun;;;张世 Shi Zhang,;;;中国保利华亿传媒公司 Poly-Huayi Media of China,;;; Asian Union Film Ltd.
59,第8届上海国际电影节,,,,50,2005-6-23,2D,,,,,,
60,两个人的芭蕾,,,,93分钟,2005-3-8,,,,,,;;;天津电影制片厂 Tianjin Film Studio;;;国家新闻出版广电总局电影卫星频道节目制作中心 China Movie Channel SARFT,";;;华夏电影发行有限责任公司 Huaxia Film Distribution Co.,Ltd"
61,日出日落,,,剧情,Canada:103,2005-9-15,2D,中国,滕文骥 Wenji Teng,http://www.cbooo.cn/p/1867,邵兵 Bing Shao;;;巍子 Zi Wei;;;孙镱菲 Yifei Sun;;;王博 Bo Wang,;;;中国电影集团公司 China Film Group Corporation,";;;中影集团数字电影院线有限公司 China Film Group Digital Cinema Line Co.,Ltd"
62,银饰,,,剧情,China:116,2005-5-13,2D,中国,黄健中 Jian-zhong Huang,http://www.cbooo.cn/p/1970,谷洋 Yang Gu;;;孟瑶 Yao Meng;;;王庆祥 Qingxiang Wang;;;王同辉 Tonghui Wang;;;严顺开 Shunkai Yan,,";;;中影集团数字电影院线有限公司 China Film Group Digital Cinema Line Co.,Ltd"
63,一轮明月,,,剧情,105分钟,2005-8-5,,中国,陈家林 Jialin Chen,http://www.cbooo.cn/p/500,徐若瑄 Vivian Hsu;;;濮存昕 Cunxin Pu,;;;北京一轮明月文化艺术交流中心 Beijing Yilunmingyue Culture＆Art Communication Center,;;;北京一轮明月文化艺术交流中心 Beijing Yilunmingyue Culture＆Art Communication Center
64,我心飞翔,,,剧情,90,2005-4-26,,中国,高晓松 Xiaosong Gao,http://www.cbooo.cn/p/1866557,陈道明 Daoming Chen;;;丁勇岱 Yongdai Ding;;;李小璐 Xiaolu Li;;;郑钧 Jun Zheng,";;;星美传媒集团有限公司 Stellar Megamedia Group Co., LTD",";;; Syracuse International Film &#38; Video Festival;;;星美传媒集团有限公司 Stellar Megamedia Group Co., LTD;;;星美（北京）影业有限公司 Stellar Mega Films Limited"
65,两个人的芭蕾,,,,93分钟,2005-3-8,,,,,,;;;天津电影制片厂 Tianjin Film Studio;;;国家新闻出版广电总局电影卫星频道节目制作中心 China Movie Channel SARFT,";;;华夏电影发行有限责任公司 Huaxia Film Distribution Co.,Ltd"
0,龙虎门,1550.0,5360.6,武侠/动作,Argentina:90,2006-7-28,2D,中国香港/中国,叶伟信 Wilson Yip,http://www.cbooo.cn/p/2230,甄子丹 Donnie Yen;;;谢霆锋 Nicholas Tse;;;余文乐 Shawn Yue;;;董洁 Jie Dong;;;李小冉 Xiaoran Li;;;元华 Wah Yuen;;;陈观泰 Kuan-tai Chen;;;施祖南 Vincent Sze;;;阮民安 Tommy Yuen;;;陈宇琛 Sam Chan Yu-Sum;;;林咏伦 Alan Lam;;;严华 Hua Yan;;;邓萃雯 Shereen Tang;;;喻亢 Kang Yu;;;谭竣浩 Tam Chun Ho;;;陈筠婷 Co Co Chan;;;古天乐 Louis Koo;;;邓萃雯 Shereen Tang;;;薛立贤 Howard Sit;;;释彦能 Yanneng Shi;;;黄玉郎 Tony Wong;;;官恩娜 Ella Koon;;;梁洛施 Isabella Leung;;;林中定 Nick Lam,";;;东方电影制作有限公司 Mandarin Films Co.,Ltd;;;上海电影（集团）有限公司 Shanghai Film Group Co.,Ltd;;;中国电影合作制片公司 China Film Co-Production Corporation",";;;荣华影业公司 Eng Wah Cinema;;; Future Film;;; Gativideo;;;东方电影制作有限公司 Mandarin Films Co.,Ltd;;; Paradiso Home Entertainment;;; Path&#233; Distribution;;; Splendid Film;;; Tot Media S.L.;;;美国韦恩斯坦影业公司 The Weinstein Company;;; Yu Enterprises;;;博纳影业集团股份有限公司 Bona Film Group"
1,栀子花开,,32.8,爱情,,2006-1-12,2D,中国,刘智勇 Zhiyong Liu,http://www.cbooo.cn/p/1866341,,,
2,真水无香,,523.0,剧情,,2006-7-1,2D,中国,徐耿 Geng Xu,http://www.cbooo.cn/p/1109,范志博 Zhibo Fan,,";;;华夏电影发行有限责任公司 Huaxia Film Distribution Co.,Ltd"
3,西岳奇童,,429.0,动画,90分钟,2006-7-1,2D,中国,胡兆洪 Zhaohong Hu,http://www.cbooo.cn/p/1867174,,;;;上海美术电影制片厂有限公司 Shanghai Animation Film Studio,;;;上海美术电影制片厂有限公司 Shanghai Animation Film Studio
4,我的长征,,816.1,剧情,95分钟,2006-10-17,2D,中国,"翟俊杰 Junjie Zhai,王珈 Jia Wang,杨军 Jun Yang","http://www.cbooo.cn/p/13924,http://www.cbooo.cn/p/1865858,http://www.cbooo.cn/p/1863604",王伍福 Wufu Wang;;;王心刚 Xingang Wang;;;王霙 Yin Wang;;;钟秋 Qiu Zhong;;;赵子琪 Ziqi Zhao;;;齐奎 Kui Qi;;;王嘉 Jia Wang;;;姚晨 Chen Yao,;;;八一电影制片厂 Bayi Film Studio,";;;华夏电影发行有限责任公司 Huaxia Film Distribution Co.,Ltd;;;中国电影集团公司 China Film Group Corporation"
5,海洋朋友,,317.3,儿童,,2006-9-21,2D,中国,钱晓鸿 Xiaohong Qian,http://www.cbooo.cn/p/1866663,黄觉 Jue Huang;;;薛咏煜 Yongyu Xue;;;徐筠 Jun Xu,;;;北京龙凤呈祥影视文化公司 Beijing Longfeng Chengxiang Film＆Television Culture Company;;;青岛华仁国际影视策划公司 Qingdao Huaren International Film＆Television Planning Company,";;;北京新华环球影视文化传播有限公司 Beijing Xinhua Huanqiu Entertainment Co.,Ltd"
6,别爱陌生人,,32.9,犯罪,,2006-8-25,2D,中国,"沈丽滨 Libing Shen,李佑宁 Youning Li","http://www.cbooo.cn/p/1867215,http://www.cbooo.cn/p/1863108",米凯莉 Kaili Mi;;;唐宸禹 TAE,";;;杭州今古时代电影制作有限公司 Hangzhou Jingu Shidai Production Co.,Ltd;;;延平影业有限公司 Yanping Pictures Co., LTD;;;香港侏罗纪影业有限公司 Hongkong Jurassic Pictures Co.,Ltd",";;;中影集团数字电影院线有限公司 China Film Group Digital Cinema Line Co.,Ltd"
7,云水谣,728.0,3614.9,爱情/战争,Taiwan:117,2006-12-1,2D,中国/中国台湾,尹力 Li Yin,http://www.cbooo.cn/p/13831,陈坤 Kun Chen;;;徐若瑄 Vivian Hsu;;;李冰冰 Bingbing Li;;;秦汉 Han Chin;;;归亚蕾 Kuei Ya-Le;;;梁洛施 Isabella Leung;;;张致恒 Steven Cheung;;;朱茵 Athena Chu;;;杨贵媚 Yang Guimei,;;;香港英皇影业有限公司 Emperor Motion Pictures;;;国家新闻出版广电总局电影卫星频道节目制作中心 China Movie Channel SARFT;;;台湾龙祥娱乐多媒体股份有限公司 Taiwan Longxiang Entertainment Multimedia Company,";;; Shaw Organisation;;;中国电影集团公司 China Film Group Corporation;;;华夏电影发行有限责任公司 Huaxia Film Distribution Co.,Ltd"
8,浅蓝深蓝,,111.2,动画,,2006-1-30,2D,中国,"熊欣欣 Xinxin Xiong,袁卫东 Weidong Yuan","http://www.cbooo.cn/p/1862402,http://www.cbooo.cn/p/1866093",罗海琼 Haiqiong Luo (voice);;;张力夫 Lifu Zhang (voice);;;郭香儿 Guo Xianger (voice);;;刘璇 Xuan Liu (voice);;;姜昆 Kun Jiang (voice);;;莫少聪 Max Mok (voice);;;赵文卓 Vincent Zhao (voice);;;朱军 Jun Zhu (voice);;;陶虹 Hong Tao (voice);;;王义夫 Yifu Wang (voice);;;那英 Ying Na (voice);;;张静初 Jingchu Zhang (voice);;;车永莉 Yongli Che (voice);;;董晓燕 Xiaoyan Dong (voice);;;李宁 Ning Li (voice),";;;北京浅蓝深蓝文化发展有限公司 Beijing Qianlan Shenlan Cultural Development Co., Ltd.",";;;北京众道电影发行有限公司 Beijing Massway Film Distribution Co., LTD;;;中国电影集团公司 China Film Group Corporation"
9,东京审判,25.0,2410.2,战争/剧情,China:111,2006-9-1,2D,中国,高群书 Qunshu Gao,http://www.cbooo.cn/p/2573,刘松仁 Damian Lau;;;林熙蕾 Kelly Lin;;;曾志伟 Eric Tsang;;;曾江 Kenneth Tsang;;;谢君豪 Kwan-Ho Tse;;;英达 Da Ying;;;朱孝天 Ken Zhu,";;;上海电影制片厂 Shanghai Film Studio;;;九江长江影视制作有限公司 Jiujiang Changjiang Production Co.,Ltd",";;;上海电影股份有限公司影视发行分公司 Eastern Mordor;;;万达电影股份有限公司 Wanda International Cinemas;;;中影星美电影院线有限公司 China Film Stellar Theater Chain;;;北京新影联影业有限责任公司 Beijing New Film Association Co,.Ltd"
10,爱上爱,,84.9,爱情,,2006-2-1,2D,中国,冯自立 Zili Feng,http://www.cbooo.cn/p/1867166,雪村 Cun Xue;;;陶泽如 Zeru Tao;;;冯雷 Lei Feng;;;英壮 Zhuang Ying;;;聂宁 Ning Nie,;;;中国敦煌国际影视文化交流中心 China Dunhuang International Film and TV Culture Communication Center,";;;中影集团数字电影院线有限公司 China Film Group Digital Cinema Line Co.,Ltd"
11,山乡书记,30.0,108.9,主旋律,,2006-3-1,2D,中国,吕乐 Yue Lu,http://www.cbooo.cn/p/196,熊兵 Bing Xiong;;;徐帆 Fan Xu,";;;北京紫禁城影业有限责任公司 Beijing Forbidden City Pictures Co.,Ltd",";;;北京紫禁城影业有限责任公司 Beijing Forbidden City Pictures Co.,Ltd;;;湖北电影制片厂 Hubei Film Studio"
12,情暖万家,12.0,608.7,剧情,93分钟,2006-6-20,2D,中国,陈健 Jian Chen,http://www.cbooo.cn/p/11476,李幼斌 Youbin Li;;;宋春丽 Chunli Song;;;祝新运 Xinyun Zhu,;;;八一电影制片厂 Bayi Film Studio,";;;北京紫禁城三联影视发行有限公司 Beijing Forbidden City Sanlian Distribution Co.,Ltd;;;江苏东方电影院线公司 JiangSu East Cinema-chain Film Co.Lo"
13,理发师,,785.9,剧情,China:110,2006-6-23,2D,中国,陈逸飞 Yi Fei Chen,http://www.cbooo.cn/p/6566,陈坤 Kun Chen;;;李丽虹 Lihong Li;;;任广智 Guangzhi Ren;;;王雅捷 Yajie Wang;;;魏宗万 Zongwan Wei;;;曾黎 Li Zeng,;;;北京电影制片厂 Beijing Film Studio,;;;上海电影股份有限公司影视发行分公司 Eastern Mordor;;;中国电影集团公司 China Film Group Corporation
14,宝贝计划,,9405.4,喜剧/动作,USA:134,2006-9-28,2D,中国香港/中国,陈木胜 Benny Chan,http://www.cbooo.cn/p/948,许冠文 Michael Hui;;;古天乐 Louis Koo;;;蔡卓妍 Charlene Choi;;;元彪 Yuen Biao;;;高圆圆 Yuanyuan Gao;;;杜丽莎 Teresa Carpio;;;尹子维 Terence Yin;;;陈子聪 Convoy Chan Chi-Chung;;;连凯 Andrew Lien;;;王合喜 Ken Wong;;;叶山豪 Hayama Go;;;卢惠光 Kenneth Lo;;;应采儿 Cherrie Ying;;;余安安 Candice Yu;;;陈宝国 Baoguo Chen;;;谷峰 Feng Ku;;;黄毓民 Yuk-Man Wong;;;张同祖 Joe Cheung;;;许绍雄 Shiu Hung Hui;;;黄文慧 Man-Wai Wong;;;林家栋 Ka Tung Lam;;;杰森·托宾 Jason J. Tobin;;;桶口明日嘉 Asuka Higuchi;;;何华超 Tony Ho;;;李逸朗 Yat-long Lee;;;蒋雅文 Mandy Chiang;;;李忠志 Nicky Li;;;方志驹 Fong Chi-Kui;;;谢霆锋 Nicholas Tse;;;吴彦祖 Daniel Wu;;;黄凯森 Sam Kai-Sen Huang;;;梁敏仪 Winnie Leung;;;龙比意 Bey Logan;;;利沙华 Courtney Wu;;;张铁林 Tielin Zhang;;;成龙 Jackie Chan;;;薛立贤 Howard Sit;;;易天雄 Yick Tin Hung;;;李日升 Jonathan Lee,";;;华谊兄弟传媒股份有限公司 Huayi Brothers Media Group Co.,Ltd;;;成龙英皇影业有限公司 JCE Entertainment Ltd.;;;陕西西影华谊电影发行有限公司 ShanXi XiYing HuaYi Film Distribution Co., LTD",;;; Dragon Dynasty;;; Geneon Entertainment;;; Group Power;;; Shaw Organisation;;; Splendid Film;;; Star Entertainment;;; United International Pictures (UIP);;; Viva Films;;;中国电影集团公司 China Film Group Corporation
15,儿子同志,,4.3,战争/儿童,88分钟,2006-9-30,2D,中国,和小江 Xiaojiang He,http://www.cbooo.cn/p/1865761,王正佳 Zhengjia Wang;;;马少骅 Shaohua Ma;;;郭好唯 Haowei Guo;;;郭晓峰 Xiaofeng Guo,;;;八一电影制片厂 Bayi Film Studio,
16,泥鳅也是鱼,,17.5,剧情,China:98,2006-4-15,2D,中国,杨亚洲 Yazhou Yang,http://www.cbooo.cn/p/2250,倪大红 Dahong Ni;;;倪萍 Ping Ni;;;潘虹 Hong Pan,";;;北京四海腾飞影视文化传媒有限公司 Beijing Sihaitengfei film and television culture media Co., Ltd.;;;日本角川映画株式会社 Gu Chuan Yang Hua Zhu Shi Hui She",;;;中国电影集团公司 China Film Group Corporation
